Name,ID,Number,Club,Position,Nationality,Age,Date of Birth,Height,Weight,Avatar,Goals,Assists
Chris Wood,99,11,Burnley,Forward,New Zealand,27,1991/12/07,191,81,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p60689.png,0,0
Daniel Agyei,100,22,Blackpool,Forward,England,21,1997/06/01,183,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p207725.png,0,0
Matej Vydra,101,27,Burnley,Forward,Czech Republic,26,1992/05/01,180,71,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p81183.png,0,0
Neil Etheridge,102,1,Cardiff City,Goalkeeper,Philippines,28,1990/02/07,188,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p88734.png,0,0
Alex Smithies,103,12,Cardiff City,Goalkeeper,England,28,1990/03/05,185,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p45220.png,0,0
Brian Murphy,104,28,Cardiff City,Goalkeeper,Ireland,35,1983/05/07,183,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p10589.png,0,0
Lee Peltier,105,2,Cardiff City,Defender,England,32,1986/12/11,178,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p38716.png,0,0
Joe Bennett,106,3,Cardiff City,Defender,England,28,1990/03/28,183,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p56981.png,0,0
Sean Morrison,107,4,Cardiff City,Defender,England,27,1991/01/08,193,89,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p49982.png,0,0
Bruno Ecuele Manga,108,5,Cardiff City,Defender,Gabon,30,1988/07/16,186,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p49382.png,0,0
Jazz Richards,109,6,Cardiff City,Defender,Wales,27,1991/04/12,185,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p73459.png,0,0
Sol Bamba,110,22,Cardiff City,Defender,Cote D'Ivoire,33,1985/01/13,190,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p19523.png,0,0
Matthew Connolly,111,16,Cardiff City,Defender,England,31,1987/09/24,188,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p27698.png,0,0
Callum Paterson,112,13,Cardiff City,Defender,Scotland,24,1994/10/13,183,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p122797.png,0,0
Greg Cunningham,113,18,Cardiff City,Defender,Ireland,27,1991/01/31,183,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p80792.png,0,0
Joe Ralls,114,8,Cardiff City,Midfielder,England,25,1993/10/12,183,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p104073.png,0,0
Kadeem Harris,115,23,Cardiff City,Midfielder,England,25,1993/06/08,175,67,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p78911.png,0,0
Loïc Damour,116,20,Cardiff City,Midfielder,France,27,1991/01/08,180,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p54527.png,0,0
Josh Murphy,117,11,Cardiff City,Midfielder,England,23,1995/02/24,173,67,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p114245.png,0,0
Bobby Reid,118,14,Cardiff City,Midfielder,England,25,1993/02/02,170,68,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p96994.png,0,0
Aron Gunnarsson,119,17,Cardiff City,Midfielder,Iceland,29,1989/04/22,178,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p49845.png,0,0
Víctor Camarasa,120,21,Cardiff City,Midfielder,Spain,24,1994/05/28,183,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p175946.png,0,0
