Name,ID,Number,Club,Position,Nationality,Age,Date of Birth,Height,Weight,Avatar,Goals,Assists
Andy Carroll,503,9,West Ham United,Forward,England,29,1989/01/06,193,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40142.png,0,0
Chicharito,504,17,West Ham United,Forward,Mexico,30,1988/06/01,175,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p43020.png,0,0
Andriy Yarmolenko,505,20,West Ham United,Forward,Ukraine,29,1989/10/23,189,81,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p56377.png,0,0
Lucas Pérez,506,27,West Ham United,Forward,Spain,30,1988/09/10,180,82,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p155851.png,0,0
Xande Silva,507,32,West Ham United,Forward,Portugal,21,1997/03/16,177,69,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p209925.png,0,0
John Ruddy,508,21,Wolverhampton Wanderers,Goalkeeper,England,32,1986/10/24,193,97,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p19236.png,0,0
Will Norris,509,31,Wolverhampton Wanderers,Goalkeeper,England,25,1993/08/12,195,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p168399.png,0,0
Rui Patrício,510,11,Wolverhampton Wanderers,Goalkeeper,Portugal,30,1988/02/15,190,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p38533.png,0,0
Matt Doherty,511,2,Wolverhampton Wanderers,Defender,Ireland,26,1992/01/16,182,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p87835.png,0,0
Ryan Bennett,512,5,Wolverhampton Wanderers,Defender,England,28,1990/03/06,188,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p41727.png,0,0
Conor Coady,513,16,Wolverhampton Wanderers,Defender,England,25,1993/02/25,185,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p94147.png,0,0
Kortney Hause,514,30,Wolverhampton Wanderers,Defender,England,23,1995/07/16,189,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p123354.png,0,0
Willy Boly,515,15,Wolverhampton Wanderers,Defender,France,27,1991/02/03,195,92,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p90585.png,0,0
Rúben Vinagre,516,29,Wolverhampton Wanderers,Defender,Portugal,19,1999/04/09,174,64,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p216054.png,0,0
Jonny,517,19,Wolverhampton Wanderers,Defender,Spain,24,1994/03/03,175,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p114128.png,0,0
Rúben Neves,518,8,Wolverhampton Wanderers,Midfielder,Portugal,21,1997/03/13,180,72,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p171317.png,0,0
Romain Saïss,519,27,Wolverhampton Wanderers,Midfielder,Morocco,28,1990/03/26,190,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p107613.png,0,0
Diogo Jota,520,18,Wolverhampton Wanderers,Midfielder,Portugal,22,1996/12/04,178,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p194634.png,0,0
João Moutinho,521,28,Wolverhampton Wanderers,Midfielder,Portugal,32,1986/09/08,170,61,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p19624.png,0,0
Leander Dendoncker,522,32,Wolverhampton Wanderers,Midfielder,Belgium,23,1995/04/15,188,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p151589.png,0,0
Ivan Cavaleiro,523,7,Wolverhampton Wanderers,Forward,Portugal,25,1993/10/18,175,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p166324.png,0,0
Hélder Costa,524,10,Wolverhampton Wanderers,Forward,Portugal,24,1994/01/12,178,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p165808.png,0,0
Léo Bonatini,525,33,Wolverhampton Wanderers,Forward,Brazil,24,1994/03/28,185,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p141569.png,0,0
Raúl Jiménez,526,9,Wolverhampton Wanderers,Forward,Mexico,27,1991/05/05,190,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p102057.png,0,0
Adama Traoré,527,37,Wolverhampton Wanderers,Forward,Spain,22,1996/01/25,178,72,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p159533.png,0,0
