Alireza Jahanbakhsh,76,16,3,Forward,Iran,25,1993-08-11,180,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p165210.png,0,0
Tom Heaton,77,1,4,Goalkeeper,England,32,1986-04-15,188,85,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p21205.png,0,0
Anders Lindegaard,78,22,4,Goalkeeper,Denmark,34,1984-04-13,193,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p39725.png,0,0
Nick Pope,79,29,4,Goalkeeper,England,26,1992-04-19,191,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p98747.png,0,0
Adam Legzdins,80,30,4,Goalkeeper,England,32,1986-11-28,190,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p28609.png,0,0
Joe Hart,81,20,4,Goalkeeper,England,31,1987-04-19,196,91,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p15749.png,0,0
Matthew Lowton,82,2,4,Defender,England,29,1989-06-09,180,78,https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0
Charlie Taylor,83,3,4,Defender,England,25,1993-09-18,176,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p103914.png,0,0
James Tarkowski,84,5,4,Defender,England,26,1992-11-19,185,81,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p17761.png,0,0
Ben Mee,85,6,4,Defender,England,29,1989-09-21,180,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p51927.png,0,0
Stephen Ward,86,23,4,Defender,Ireland,33,1985-08-20,184,82,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40616.png,0,0
Phil Bardsley,87,26,4,Defender,Scotland,33,1985-06-28,180,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p17997.png,0,0
Kevin Long,88,28,4,Defender,Ireland,28,1990-08-18,188,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p41674.png,0,0
Ben Gibson,89,14,4,Defender,England,25,1993-01-15,185,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p83312.png,0,0
Jack Cork,90,4,4,Midfielder,England,29,1989-06-25,183,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40145.png,0,0
Robbie Brady,91,12,4,Midfielder,Ireland,26,1992-01-14,176,71,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p90517.png,0,0
Jeff Hendrick,92,13,4,Midfielder,Ireland,26,1992-01-31,185,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p83314.png,0,0
Steven Defour,93,16,4,Midfielder,Belgium,30,1988-04-15,173,65,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p39847.png,0,0
Johann Gudmundsson,94,7,4,Midfielder,Iceland,28,1990-10-27,186,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p60586.png,0,0
Ashley Westwood,95,18,4,Midfielder,England,28,1990-04-01,175,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p60551.png,0,0
Aaron Lennon,96,25,4,Midfielder,England,31,1987-04-16,165,63,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p17349.png,0,0
Sam Vokes,97,9,4,Forward,Wales,29,1989-10-21,186,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40399.png,0,0
Ashley Barnes,98,10,4,Forward,Austria,29,1989-10-30,186,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p44699.png,0,0
Chris Wood,99,11,4,Forward,New Zealand,27,1991-12-07,191,81,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p60689.png,0,0
Daniel Agyei,100,22,4,Forward,England,21,1997-06-01,183,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p207725.png,0,0
Matej Vydra,101,27,4,Forward,Czech Republic,26,1992-05-01,180,71,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p81183.png,0,0
Neil Etheridge,102,1,5,Goalkeeper,Philippines,28,1990-02-07,188,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p88734.png,0,0
Alex Smithies,103,12,5,Goalkeeper,England,28,1990-03-05,185,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p45220.png,0,0
Brian Murphy,104,28,5,Goalkeeper,Ireland,35,1983-05-07,183,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p10589.png,0,0
Lee Peltier,105,2,5,Defender,England,32,1986-12-11,178,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p38716.png,0,0
Joe Bennett,106,3,5,Defender,England,28,1990-03-28,183,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p56981.png,0,0
Sean Morrison,107,4,5,Defender,England,27,1991-01-08,193,89,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p49982.png,0,0
Bruno Ecuele Manga,108,5,5,Defender,Gabon,30,1988-07-16,186,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p49382.png,0,0
Jazz Richards,109,6,5,Defender,Wales,27,1991-04-12,185,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p73459.png,0,0
Sol Bamba,110,22,5,Defender,Cote D'Ivoire,33,1985-01-13,190,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p19523.png,0,0
Matthew Connolly,111,16,5,Defender,England,31,1987-09-24,188,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p27698.png,0,0
Callum Paterson,112,13,5,Defender,Scotland,24,1994-10-13,183,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p122797.png,0,0
Greg Cunningham,113,18,5,Defender,Ireland,27,1991-01-31,183,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p80792.png,0,0
Joe Ralls,114,8,5,Midfielder,England,25,1993-10-12,183,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p104073.png,0,0
Kadeem Harris,115,23,5,Midfielder,England,25,1993-06-08,175,67,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p78911.png,0,0
Loïc Damour,116,20,5,Midfielder,France,27,1991-01-08,180,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p54527.png,0,0
Josh Murphy,117,11,5,Midfielder,England,23,1995-02-24,173,67,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p114245.png,0,0
Bobby Reid,118,14,5,Midfielder,England,25,1993-02-02,170,68,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p96994.png,0,0
